Pre-trained model,bias type,value,quantile
RoBERTa-Large_SQuAD,ans-len,10.87,78.13
RoBERTa-Large_SQuAD,word-dist,4.81,82.38
RoBERTa-Large_SQuAD,cos-sim,2.43,84.44
RoBERTa-Large_SQuAD,sim-ents,0.87,87.51
RoBERTa-Large_SQuAD,sim-word,0.37,86.51
RoBERTa-Large_SQuAD,ans-pos,0,89.38
RoBERTa-Large_SQuAD,subj-pos,0,89.13
RoBERTa-Large_SQuAD,average,2.764286,85.35428571
RoBERTa-Large_Adv,ans-len,12.35,71.96
RoBERTa-Large_Adv,word-dist,1.74,80.13
RoBERTa-Large_Adv,cos-sim,1.93,79.13
RoBERTa-Large_Adv,sim-ents,0,83.88
RoBERTa-Large_Adv,sim-word,0.12,80.38
RoBERTa-Large_Adv,ans-pos,0,85.13
RoBERTa-Large_Adv,subj-pos,0,84.5
RoBERTa-Large_Adv,average,2.31,80.73
RoBERTa-Large_NQ,ans-len,8.24,68.13
RoBERTa-Large_NQ,word-dist,3.62,71.56
RoBERTa-Large_NQ,cos-sim,0,77.94
RoBERTa-Large_NQ,sim-ents,5.36,73.95
RoBERTa-Large_NQ,sim-word,0,76.94
RoBERTa-Large_NQ,ans-pos,0,78.5
RoBERTa-Large_NQ,subj-pos,0,77.32
RoBERTa-Large_NQ,average,2.46,74.90571429
RoBERTa-Large_Trivia,ans-len,43.24,21.26
RoBERTa-Large_Trivia,word-dist,5.23,52.25
RoBERTa-Large_Trivia,cos-sim,4.8,50.07
RoBERTa-Large_Trivia,sim-ents,3.86,56.14
RoBERTa-Large_Trivia,sim-word,4.49,52.38
RoBERTa-Large_Trivia,ans-pos,0,59.95
RoBERTa-Large_Trivia,subj-pos,1.74,57.57
RoBERTa-Large_Trivia,average,9.05,49.94571429
Human,ans-len,13.55,69.76
Human,word-dist,0.30,81.07
Human,cos-sim,0.55,79.88
Human,sim-ents,0.74,82.51
Human,sim-word,0.42,81.5
Human,subj-pos,0,83.94
Human,ans-pos,0,84
Human,average,2.22,80.38
